id,ticker,candle_date,open,high,low,close,updated_at
4176,COCHINSHIP.NS,2026-05-13,1619.9000,1668.9000,1616.2000,1653.1000,2026-06-17 08:48:44.717+00
4175,COCHINSHIP.NS,2026-05-12,1715.0000,1718.1000,1607.6000,1616.1000,2026-06-17 08:48:44.717+00
4174,COCHINSHIP.NS,2026-05-11,1760.0000,1764.5000,1712.0000,1716.5000,2026-06-17 08:48:44.717+00
4173,COCHINSHIP.NS,2026-05-08,1830.0000,1842.8000,1767.9000,1776.7000,2026-06-17 08:48:44.717+00
4172,COCHINSHIP.NS,2026-05-07,1760.0000,1823.9000,1746.0000,1814.7000,2026-06-17 08:48:44.717+00
4171,COCHINSHIP.NS,2026-05-06,1725.0000,1765.8000,1721.9000,1753.1000,2026-06-17 08:48:44.717+00
4170,COCHINSHIP.NS,2026-05-05,1710.9000,1733.8000,1693.8000,1712.2000,2026-06-17 08:48:44.717+00
4169,COCHINSHIP.NS,2026-05-04,1742.0000,1753.8000,1677.3000,1719.3000,2026-06-17 08:48:44.717+00
4168,COCHINSHIP.NS,2026-05-01,1733.4000,1733.4000,1733.4000,1733.4000,2026-06-17 08:48:44.717+00
4167,COCHINSHIP.NS,2026-04-30,1773.8000,1776.9000,1710.6000,1733.4000,2026-06-17 08:48:44.717+00
4166,COCHINSHIP.NS,2026-04-29,1714.0000,1780.0000,1714.0000,1773.8000,2026-06-17 08:48:44.717+00
4165,COCHINSHIP.NS,2026-04-28,1682.0000,1709.9000,1675.2000,1695.6000,2026-06-17 08:48:44.717+00
4164,COCHINSHIP.NS,2026-04-27,1677.1000,1716.5000,1647.2000,1679.3000,2026-06-17 08:48:44.717+00
4163,COCHINSHIP.NS,2026-04-24,1595.0000,1710.0000,1592.8000,1664.7000,2026-06-17 08:48:44.717+00
4162,COCHINSHIP.NS,2026-04-23,1580.0000,1612.5000,1571.8000,1592.8000,2026-06-17 08:48:44.717+00
4161,COCHINSHIP.NS,2026-04-22,1556.9000,1588.0000,1542.9000,1583.1000,2026-06-17 08:48:44.717+00
4160,COCHINSHIP.NS,2026-04-21,1540.4000,1584.8000,1531.2000,1556.9000,2026-06-17 08:48:44.717+00
4159,COCHINSHIP.NS,2026-04-20,1568.0000,1582.9000,1538.0000,1544.9000,2026-06-17 08:48:44.717+00
4158,COCHINSHIP.NS,2026-04-17,1500.0000,1569.5000,1498.1000,1561.1000,2026-06-17 08:48:44.717+00
4157,COCHINSHIP.NS,2026-04-16,1492.0000,1511.8000,1464.0000,1498.1000,2026-06-17 08:48:44.717+00
4156,COCHINSHIP.NS,2026-04-15,1465.0000,1491.0000,1459.2000,1479.2000,2026-06-17 08:48:44.717+00
4155,COCHINSHIP.NS,2026-04-13,1417.1000,1447.8000,1394.2000,1435.0000,2026-06-17 08:48:44.717+00
4154,COCHINSHIP.NS,2026-04-10,1436.0000,1502.2000,1435.0000,1464.6000,2026-06-17 08:48:44.717+00
4153,COCHINSHIP.NS,2026-04-09,1380.0000,1449.0000,1372.5000,1423.9000,2026-06-17 08:48:44.717+00
4152,COCHINSHIP.NS,2026-04-08,1420.0000,1425.0000,1374.2000,1379.8000,2026-06-17 08:48:44.717+00
4151,COCHINSHIP.NS,2026-04-07,1333.9000,1363.8000,1322.3000,1348.0000,2026-06-17 08:48:44.717+00
4150,COCHINSHIP.NS,2026-04-06,1310.0000,1343.7000,1275.1000,1333.9000,2026-06-17 08:48:44.717+00
4149,COCHINSHIP.NS,2026-04-02,1300.0000,1320.0000,1266.8000,1314.5000,2026-06-17 08:48:44.717+00
4148,COCHINSHIP.NS,2026-04-01,1244.9000,1372.0000,1228.1000,1338.6000,2026-06-17 08:48:44.717+00
4147,COCHINSHIP.NS,2026-03-30,1243.9000,1284.6000,1187.0000,1193.1000,2026-06-17 08:48:44.717+00
4146,COCHINSHIP.NS,2026-03-27,1305.1000,1312.0000,1253.0000,1256.8000,2026-06-17 08:48:44.717+00
4145,COCHINSHIP.NS,2026-03-25,1328.0000,1352.4000,1310.0000,1317.4000,2026-06-17 08:48:44.717+00
4144,COCHINSHIP.NS,2026-03-24,1319.0000,1321.9000,1283.2000,1305.1000,2026-06-17 08:48:44.717+00
4143,COCHINSHIP.NS,2026-03-23,1330.9000,1333.5000,1260.1000,1269.2000,2026-06-17 08:48:44.717+00
4142,COCHINSHIP.NS,2026-03-20,1368.0000,1395.0000,1331.6000,1341.5000,2026-06-17 08:48:44.717+00
4141,COCHINSHIP.NS,2026-03-19,1394.9000,1404.9000,1355.7000,1361.4000,2026-06-17 08:48:44.717+00
4140,COCHINSHIP.NS,2026-03-18,1369.0000,1414.8000,1364.0000,1411.9000,2026-06-17 08:48:44.717+00
4139,COCHINSHIP.NS,2026-03-17,1349.0000,1366.0000,1328.0000,1359.6000,2026-06-17 08:48:44.717+00
4138,COCHINSHIP.NS,2026-03-16,1385.5000,1387.6000,1310.1000,1334.7000,2026-06-17 08:48:44.717+00
4137,COCHINSHIP.NS,2026-03-13,1435.0000,1439.6000,1375.0000,1385.5000,2026-06-17 08:48:44.717+00
4136,COCHINSHIP.NS,2026-03-12,1450.0000,1452.0000,1422.6000,1444.3000,2026-06-17 08:48:44.717+00
4135,COCHINSHIP.NS,2026-03-11,1474.6000,1507.1000,1450.2000,1460.7000,2026-06-17 08:48:44.717+00
4134,COCHINSHIP.NS,2026-03-10,1480.0000,1494.4000,1453.1000,1474.6000,2026-06-17 08:48:44.717+00
4133,COCHINSHIP.NS,2026-03-09,1490.3000,1491.0000,1435.1000,1454.6000,2026-06-17 08:48:44.717+00
4132,COCHINSHIP.NS,2026-03-06,1458.0000,1523.8000,1445.9000,1490.3000,2026-06-17 08:48:44.717+00
4131,COCHINSHIP.NS,2026-03-05,1405.0000,1497.0000,1400.2000,1447.6000,2026-06-17 08:48:44.717+00
4130,COCHINSHIP.NS,2026-03-04,1447.3000,1447.3000,1389.0000,1398.0000,2026-06-17 08:48:44.717+00
4129,COCHINSHIP.NS,2026-03-02,1435.0000,1524.4000,1428.3000,1448.9000,2026-06-17 08:48:44.717+00
4128,COCHINSHIP.NS,2026-02-27,1491.4000,1505.0000,1474.3000,1491.7000,2026-06-17 08:48:44.717+00
4127,COCHINSHIP.NS,2026-02-26,1487.6000,1515.9000,1480.1000,1500.8000,2026-06-17 08:48:44.717+00
4126,COCHINSHIP.NS,2026-02-25,1494.0000,1504.6000,1476.0000,1487.1000,2026-06-17 08:48:44.717+00
4125,COCHINSHIP.NS,2026-02-24,1501.8000,1501.8000,1478.2000,1489.9000,2026-06-17 08:48:44.717+00
4124,COCHINSHIP.NS,2026-02-23,1517.6000,1519.9000,1492.6000,1501.8000,2026-06-17 08:48:44.717+00
4123,COCHINSHIP.NS,2026-02-20,1521.3000,1543.8000,1496.6000,1517.6000,2026-06-17 08:48:44.717+00
4122,COCHINSHIP.NS,2026-02-19,1550.0000,1562.3000,1501.5000,1522.2000,2026-06-17 08:48:44.717+00
4121,COCHINSHIP.NS,2026-02-18,1532.9000,1540.0000,1505.9000,1529.1000,2026-06-17 08:48:44.717+00
4120,COCHINSHIP.NS,2026-02-17,1550.0000,1574.5000,1520.0000,1525.6000,2026-06-17 08:48:44.717+00
4119,COCHINSHIP.NS,2026-02-16,1472.8000,1482.0000,1455.0000,1469.4000,2026-06-17 08:48:44.717+00
4118,COCHINSHIP.NS,2026-02-13,1500.4000,1500.4000,1462.7000,1472.8000,2026-06-17 08:48:44.717+00
4117,COCHINSHIP.NS,2026-02-12,1513.7000,1515.8000,1495.0000,1500.4000,2026-06-17 08:48:44.717+00
4116,COCHINSHIP.NS,2026-02-11,1528.6000,1534.9000,1506.0000,1513.7000,2026-06-17 08:48:44.717+00
4115,COCHINSHIP.NS,2026-02-10,1534.0000,1574.0000,1524.0000,1528.6000,2026-06-17 08:48:44.717+00
