id,ticker,candle_date,open,high,low,close,updated_at
8856,RVNL.NS,2026-04-16,291.4000,298.6700,287.1200,293.8900,2026-06-19 04:40:09.969+00
8855,RVNL.NS,2026-04-15,278.0000,288.8500,276.7500,287.0600,2026-06-19 04:40:09.969+00
8854,RVNL.NS,2026-04-13,268.9000,272.9900,264.2000,271.7900,2026-06-19 04:40:09.969+00
8853,RVNL.NS,2026-04-10,274.0100,282.5000,273.4500,275.0000,2026-06-19 04:40:09.969+00
8852,RVNL.NS,2026-04-09,275.5400,277.0600,268.6300,272.8300,2026-06-19 04:40:09.969+00
8851,RVNL.NS,2026-04-08,275.0000,276.4800,271.1500,274.9400,2026-06-19 04:40:09.969+00
8850,RVNL.NS,2026-04-07,259.5500,263.9000,256.8400,261.2600,2026-06-19 04:40:09.969+00
8849,RVNL.NS,2026-04-06,261.9000,266.3700,253.6800,261.5500,2026-06-19 04:40:09.969+00
8848,RVNL.NS,2026-04-02,256.0200,262.2300,251.0000,260.6600,2026-06-19 04:40:09.969+00
8847,RVNL.NS,2026-04-01,259.9000,265.2500,257.0000,262.6100,2026-06-19 04:40:09.969+00
8846,RVNL.NS,2026-03-30,260.0000,261.1000,248.0000,249.6500,2026-06-19 04:40:09.969+00
8845,RVNL.NS,2026-03-27,266.3000,268.2000,261.6000,264.0500,2026-06-19 04:40:09.969+00
8844,RVNL.NS,2026-03-25,262.9500,273.4000,261.3000,268.8500,2026-06-19 04:40:09.969+00
8843,RVNL.NS,2026-03-24,259.0000,261.5000,254.6000,258.4500,2026-06-19 04:40:09.969+00
8842,RVNL.NS,2026-03-23,260.7000,260.7500,249.1000,250.2500,2026-06-19 04:40:09.969+00
8841,RVNL.NS,2026-03-20,265.4500,270.5500,262.9000,264.5500,2026-06-19 04:40:09.969+00
8840,RVNL.NS,2026-03-19,268.7000,270.0000,261.2500,262.3500,2026-06-19 04:40:09.969+00
