id,ticker,candle_date,open,high,low,close,updated_at
7939,TMCV.NS,2026-03-18,445.0000,451.6000,438.6500,447.6500,2026-06-17 08:49:25.51+00
7938,TMCV.NS,2026-03-17,445.0000,446.8500,430.1000,441.9500,2026-06-17 08:49:25.51+00
7937,TMCV.NS,2026-03-16,420.0000,442.0000,415.8000,437.6000,2026-06-17 08:49:25.51+00
7936,TMCV.NS,2026-03-13,439.0000,442.1500,418.0000,425.6500,2026-06-17 08:49:25.51+00
7935,TMCV.NS,2026-03-12,440.9500,446.9000,425.0000,443.5500,2026-06-17 08:49:25.51+00
7934,TMCV.NS,2026-03-11,465.0000,469.9000,440.0000,445.4500,2026-06-17 08:49:25.51+00
7933,TMCV.NS,2026-03-10,458.2000,470.6500,455.3000,459.1500,2026-06-17 08:49:25.51+00
7932,TMCV.NS,2026-03-09,463.7500,467.7000,433.4000,448.3000,2026-06-17 08:49:25.51+00
7931,TMCV.NS,2026-03-06,485.0000,492.1500,471.0500,474.2500,2026-06-17 08:49:25.51+00
7930,TMCV.NS,2026-03-05,473.7000,487.6000,472.7000,480.4000,2026-06-17 08:49:25.51+00
7929,TMCV.NS,2026-03-04,490.0000,492.0000,466.0500,470.7500,2026-06-17 08:49:25.51+00
7928,TMCV.NS,2026-03-02,485.0000,506.5000,483.0000,498.0000,2026-06-17 08:49:25.51+00
7927,TMCV.NS,2026-02-27,495.0000,509.0000,491.5500,505.3000,2026-06-17 08:49:25.51+00
7926,TMCV.NS,2026-02-26,480.0000,495.0000,480.0000,491.3500,2026-06-17 08:49:25.51+00
7925,TMCV.NS,2026-02-25,478.0000,482.9500,474.3000,479.8500,2026-06-17 08:49:25.51+00
7924,TMCV.NS,2026-02-24,483.3000,483.3500,472.5500,475.5000,2026-06-17 08:49:25.51+00
7923,TMCV.NS,2026-02-23,478.9500,485.8000,471.5000,479.8000,2026-06-17 08:49:25.51+00
7922,TMCV.NS,2026-02-20,476.3000,482.9000,471.0500,472.9000,2026-06-17 08:49:25.51+00
7921,TMCV.NS,2026-02-19,489.0000,490.0000,470.0000,474.5000,2026-06-17 08:49:25.51+00
7920,TMCV.NS,2026-02-18,490.6000,498.7500,485.2000,488.8000,2026-06-17 08:49:25.51+00
7919,TMCV.NS,2026-02-17,482.4500,491.0000,479.3000,489.7500,2026-06-17 08:49:25.51+00
7918,TMCV.NS,2026-02-16,483.9000,490.9000,476.9000,479.0500,2026-06-17 08:49:25.51+00
7917,TMCV.NS,2026-02-13,494.0000,498.9000,481.5500,483.7500,2026-06-17 08:49:25.51+00
7916,TMCV.NS,2026-02-12,491.0500,500.0000,483.6500,498.1500,2026-06-17 08:49:25.51+00
7915,TMCV.NS,2026-02-11,488.0000,497.8000,479.3000,487.2000,2026-06-17 08:49:25.51+00
7914,TMCV.NS,2026-02-10,470.0000,476.9000,467.8000,472.5500,2026-06-17 08:49:25.51+00
7913,TMCV.NS,2026-02-09,460.0000,472.9500,456.8000,466.8000,2026-06-17 08:49:25.51+00
7912,TMCV.NS,2026-02-06,458.0000,461.4500,447.6000,458.2500,2026-06-17 08:49:25.51+00
7911,TMCV.NS,2026-02-05,461.6000,465.7500,454.0000,455.9000,2026-06-17 08:49:25.51+00
7910,TMCV.NS,2026-02-04,464.0000,472.9000,456.6500,458.4500,2026-06-17 08:49:25.51+00
7909,TMCV.NS,2026-02-03,470.0000,479.7000,451.2500,457.9500,2026-06-17 08:49:25.51+00
7908,TMCV.NS,2026-02-02,441.0000,446.9000,431.0000,443.5500,2026-06-17 08:49:25.51+00
7907,TMCV.NS,2026-01-30,461.0000,485.4000,450.5500,458.5000,2026-06-17 08:49:25.51+00
7906,TMCV.NS,2026-01-29,473.7500,475.5000,459.7500,470.2000,2026-06-17 08:49:25.51+00
7905,TMCV.NS,2026-01-28,450.0000,470.2500,448.0000,467.9500,2026-06-17 08:49:25.51+00
7904,TMCV.NS,2026-01-27,450.0000,454.7500,438.5000,443.9000,2026-06-17 08:49:25.51+00
7903,TMCV.NS,2026-01-23,446.9500,456.4000,439.3500,449.2000,2026-06-17 08:49:25.51+00
7902,TMCV.NS,2026-01-22,436.1000,453.8000,435.8500,444.9000,2026-06-17 08:49:25.51+00
7901,TMCV.NS,2026-01-21,431.3500,449.5500,421.1000,434.8500,2026-06-17 08:49:25.51+00
7900,TMCV.NS,2026-01-20,441.4000,446.4000,426.5500,432.4500,2026-06-16 13:51:01.069+00
7899,TMCV.NS,2026-01-19,442.0000,451.2000,434.5000,441.4000,2026-06-15 17:01:28.146+00
7898,TMCV.NS,2026-01-16,431.9500,446.6500,427.5000,438.5000,2026-06-14 14:51:42.613+00
